id,dst_ip,src_ip,proto,count,port,flag,type,length,attack
333,1,0,6,8,1,4,-1,-1,0
334,0,1,6,6,-1,18,-1,-1,0
335,0,1,6,9,-1,18,-1,-1,0
336,1,0,6,11,1,4,-1,-1,0
337,1,0,6,30,1,2,-1,-1,2
338,1,0,6,31,1,2,-1,-1,2
339,0,1,6,10,-1,18,-1,-1,0
340,1,0,6,7,1,4,-1,-1,0
341,0,1,6,5,-1,18,-1,-1,0
342,1,0,6,13,1,4,-1,-1,0
343,1,0,6,31,1,2,-1,-1,2
344,1,0,6,3,1,4,-1,-1,0
345,1,0,6,3,1,2,-1,-1,0
346,0,1,6,1,-1,18,-1,-1,0
347,1,0,6,45,1,2,-1,-1,2
348,1,0,6,25,1,4,-1,-1,3
349,0,1,6,3,-1,18,-1,-1,0
350,1,0,6,52,1,2,-1,-1,2
351,1,0,6,16,1,4,-1,-1,0
352,0,1,6,5,-1,18,-1,-1,0
353,1,0,6,49,1,2,-1,-1,2
354,0,1,6,13,-1,18,-1,-1,0
355,1,0,6,11,1,4,-1,-1,0
356,1,0,6,16,1,4,-1,-1,0
357,1,0,6,50,1,2,-1,-1,2
358,0,1,6,11,-1,18,-1,-1,0
359,1,0,6,46,1,2,-1,-1,2
360,0,1,6,12,-1,18,-1,-1,0
361,1,0,6,17,1,4,-1,-1,0
362,1,0,6,51,1,2,-1,-1,2
363,1,0,6,7,1,4,-1,-1,0
364,0,1,6,15,-1,18,-1,-1,0
365,1,0,6,37,1,2,-1,-1,2
366,0,1,6,6,-1,18,-1,-1,0
367,1,0,6,7,1,4,-1,-1,0
368,1,0,6,11,1,4,-1,-1,0
369,1,0,6,29,1,2,-1,-1,2
370,0,1,6,12,-1,18,-1,-1,0
371,1,0,6,29,1,2,-1,-1,2
372,1,0,6,8,1,4,-1,-1,0
373,0,1,6,6,-1,18,-1,-1,0
374,1,0,6,26,1,2,-1,-1,2
375,0,1,6,9,-1,18,-1,-1,0
376,1,0,6,12,1,4,-1,-1,0
377,0,1,6,11,-1,18,-1,-1,0
378,1,0,6,13,1,4,-1,-1,0
379,1,0,6,20,1,2,-1,-1,0
380,1,0,6,19,1,4,-1,-1,0
381,1,0,6,52,1,2,-1,-1,2
382,0,1,6,4,-1,18,-1,-1,0
