id,dst_ip,src_ip,proto,count,port,flag,type,length,attack
377,1,0,1,49,-1,-1,8,-1,1
378,0,1,1,49,-1,-1,0,-1,0
379,0,1,1,51,-1,-1,0,-1,0
380,1,0,1,50,-1,-1,8,-1,1
381,1,0,1,50,-1,-1,8,-1,1
382,0,1,1,49,-1,-1,0,-1,0
383,1,0,1,50,-1,-1,8,-1,1
384,0,1,1,50,-1,-1,0,-1,0
385,1,0,1,33,-1,-1,8,-1,1
386,0,1,1,32,-1,-1,0,-1,0
387,0,1,1,35,-1,-1,0,-1,0
388,1,0,1,34,-1,-1,8,-1,1
389,1,0,1,32,-1,-1,8,-1,1
390,0,1,1,32,-1,-1,0,-1,0
391,1,0,1,32,-1,-1,8,-1,1
392,0,1,1,31,-1,-1,0,-1,0
393,1,0,1,36,-1,-1,8,-1,1
394,0,1,1,36,-1,-1,0,-1,0
395,0,1,1,36,-1,-1,0,-1,0
396,1,0,1,35,-1,-1,8,-1,1
397,0,1,1,35,-1,-1,0,-1,0
398,1,0,1,35,-1,-1,8,-1,1
399,0,1,1,35,-1,-1,0,-1,0
400,1,0,1,34,-1,-1,8,-1,1
401,0,1,1,38,-1,-1,0,-1,0
402,1,0,1,37,-1,-1,8,-1,1
403,0,1,1,50,-1,-1,0,-1,0
404,1,0,1,49,-1,-1,8,-1,1
405,1,0,1,53,-1,-1,8,-1,1
406,0,1,1,52,-1,-1,0,-1,0
407,0,1,1,51,-1,-1,0,-1,0
408,1,0,1,51,-1,-1,8,-1,1
409,0,1,1,55,-1,-1,0,-1,0
410,1,0,1,54,-1,-1,8,-1,1
411,1,0,1,54,-1,-1,8,-1,1
412,0,1,1,53,-1,-1,0,-1,0
413,0,1,1,51,-1,-1,0,-1,0
414,1,0,1,50,-1,-1,8,-1,1
415,0,1,1,52,-1,-1,0,-1,0
416,1,0,1,51,-1,-1,8,-1,1
417,1,0,1,53,-1,-1,8,-1,1
418,0,1,1,52,-1,-1,0,-1,0
419,0,1,1,33,-1,-1,0,-1,0
420,1,0,1,33,-1,-1,8,-1,1
421,0,1,1,34,-1,-1,0,-1,0
422,1,0,1,33,-1,-1,8,-1,1
423,1,0,1,49,-1,-1,8,-1,1
424,0,1,1,48,-1,-1,0,-1,0
425,0,1,1,47,-1,-1,0,-1,0
426,1,0,1,46,-1,-1,8,-1,1
427,1,0,1,34,-1,-1,8,-1,1
428,0,1,1,34,-1,-1,0,-1,0
429,0,1,1,51,-1,-1,0,-1,0
430,1,0,1,50,-1,-1,8,-1,1
431,0,1,1,54,-1,-1,0,-1,0
432,1,0,1,54,-1,-1,8,-1,1
433,1,0,1,52,-1,-1,8,-1,1
434,0,1,1,52,-1,-1,0,-1,0
435,1,0,1,53,-1,-1,8,-1,1
436,0,1,1,52,-1,-1,0,-1,0
437,0,1,1,55,-1,-1,0,-1,0
438,1,0,1,54,-1,-1,8,-1,1
439,1,0,1,54,-1,-1,8,-1,1
440,0,1,1,53,-1,-1,0,-1,0
441,0,1,1,53,-1,-1,0,-1,0
442,1,0,1,53,-1,-1,8,-1,1
443,1,0,1,55,-1,-1,8,-1,1
444,0,1,1,53,-1,-1,0,-1,0
445,1,0,1,53,-1,-1,8,-1,1
446,0,1,1,51,-1,-1,0,-1,0
447,0,1,1,53,-1,-1,0,-1,0
448,1,0,1,53,-1,-1,8,-1,1
449,1,0,1,56,-1,-1,8,-1,1
450,0,1,1,55,-1,-1,0,-1,0
451,0,1,1,69,-1,-1,0,-1,0
452,1,0,1,68,-1,-1,8,-1,1
453,1,0,1,67,-1,-1,8,-1,1
454,0,1,1,67,-1,-1,0,-1,0
455,1,0,1,105,-1,-1,8,-1,1
456,0,1,1,105,-1,-1,0,-1,0
457,1,0,1,91,-1,-1,8,-1,1
458,0,1,1,90,-1,-1,0,-1,0
459,1,0,1,91,-1,-1,8,-1,1
460,0,1,1,91,-1,-1,0,-1,0
461,0,1,1,89,-1,-1,0,-1,0
462,1,0,1,89,-1,-1,8,-1,1
463,1,0,1,92,-1,-1,8,-1,1
464,0,1,1,92,-1,-1,0,-1,0
465,1,0,1,95,-1,-1,8,-1,1
466,0,1,1,94,-1,-1,0,-1,0
467,0,1,1,90,-1,-1,0,-1,0
468,1,0,1,90,-1,-1,8,-1,1
469,0,1,1,92,-1,-1,0,-1,0
470,1,0,1,93,-1,-1,8,-1,1
471,0,1,1,94,-1,-1,0,-1,0
472,1,0,1,94,-1,-1,8,-1,1
473,0,1,1,96,-1,-1,0,-1,0
474,1,0,1,95,-1,-1,8,-1,1
475,1,0,1,92,-1,-1,8,-1,1
476,0,1,1,94,-1,-1,0,-1,0
477,0,1,1,90,-1,-1,0,-1,0
478,1,0,1,89,-1,-1,8,-1,1
479,1,0,1,94,-1,-1,8,-1,1
480,0,1,1,93,-1,-1,0,-1,0
481,1,0,1,93,-1,-1,8,-1,1
482,0,1,1,91,-1,-1,0,-1,0
483,1,0,1,92,-1,-1,8,-1,1
484,0,1,1,91,-1,-1,0,-1,0
485,0,1,1,91,-1,-1,0,-1,0
486,1,0,1,91,-1,-1,8,-1,1
487,0,1,1,93,-1,-1,0,-1,0
488,1,0,1,92,-1,-1,8,-1,1
489,1,0,1,94,-1,-1,8,-1,1
490,0,1,1,93,-1,-1,0,-1,0
491,1,0,1,98,-1,-1,8,-1,1
492,0,1,1,95,-1,-1,0,-1,0
493,1,0,1,94,-1,-1,8,-1,1
494,0,1,1,92,-1,-1,0,-1,0
495,0,1,1,114,-1,-1,0,-1,0
496,1,0,1,113,-1,-1,8,-1,1
497,1,0,1,116,-1,-1,8,-1,1
498,0,1,1,115,-1,-1,0,-1,0
499,1,0,1,15,-1,-1,8,-1,0
500,0,1,1,15,-1,-1,0,-1,0
501,1,0,1,21,-1,-1,8,-1,1
502,0,1,1,20,-1,-1,0,-1,0
503,1,0,1,21,-1,-1,8,-1,1
504,0,1,1,20,-1,-1,0,-1,0
505,1,0,1,27,-1,-1,8,-1,1
506,0,1,1,26,-1,-1,0,-1,0
507,1,0,1,21,-1,-1,8,-1,1
508,0,1,1,21,-1,-1,0,-1,0
509,1,0,1,22,-1,-1,8,-1,1
510,0,1,1,21,-1,-1,0,-1,0
511,1,0,1,28,-1,-1,8,-1,1
512,0,1,1,27,-1,-1,0,-1,0
513,1,0,1,28,-1,-1,8,-1,1
