protocal,count,port,flag,type,srcip,attack
17,1637,31500,-1,-1,-1,4
17,1798,31500,-1,-1,-1,4
17,1731,31500,-1,-1,-1,4
6,1,9171,16,-1,-1,0
6,1,9171,24,-1,-1,0
17,2192,31500,-1,-1,-1,4
6,1,902,24,-1,-1,0
6,4,9171,16,-1,-1,0
6,3,902,16,-1,-1,0
6,2,9156,16,-1,-1,0
17,3114,31500,-1,-1,-1,4
6,3,902,24,-1,-1,0
6,2,9171,16,-1,-1,0
6,2,902,16,-1,-1,0
17,3143,31500,-1,-1,-1,4
6,2,902,16,-1,-1,0
6,1,9156,16,-1,-1,0
6,2,9147,16,-1,-1,0
17,2582,31500,-1,-1,-1,4
6,3,902,24,-1,-1,0
6,14,9171,16,-1,-1,0
6,1,9147,16,-1,-1,0
17,2470,31500,-1,-1,-1,4
6,45,902,24,-1,-1,0
6,2,9171,16,-1,-1,0
17,2582,31500,-1,-1,-1,4
6,1,902,24,-1,-1,0
6,2,9171,16,-1,-1,0
17,2779,31500,-1,-1,-1,4
6,2,902,24,-1,-1,0
6,2,9171,16,-1,-1,0
17,3235,31500,-1,-1,-1,4
6,1,902,24,-1,-1,0
17,3153,31500,-1,-1,-1,4
6,1,9171,16,-1,-1,0
17,3233,31500,-1,-1,-1,4
6,2,9171,16,-1,-1,0
17,3343,31500,-1,-1,-1,4
6,1,902,24,-1,-1,0
17,2917,31500,-1,-1,-1,4
17,2970,31500,-1,-1,-1,4
6,3,902,16,-1,-1,0
6,1,9138,24,-1,-1,0
6,1,9138,16,-1,-1,0
6,1,9156,16,-1,-1,0
17,3252,31500,-1,-1,-1,4
6,2,443,24,-1,-1,0
6,1,902,2,-1,-1,0
6,1,9147,16,-1,-1,0
17,3198,31500,-1,-1,-1,4
6,13,9171,16,-1,-1,0
17,2720,31500,-1,-1,-1,4
6,10,902,24,-1,-1,0
17,3167,31500,-1,-1,-1,4
6,1,902,2,-1,-1,0
6,1,902,16,-1,-1,0
17,3281,31500,-1,-1,-1,4
6,1,9178,24,-1,-1,0
17,3214,31500,-1,-1,-1,4
6,1,902,16,-1,-1,0
6,2,9178,24,-1,-1,0
17,3225,31500,-1,-1,-1,4
17,2,137,-1,-1,-1,0
17,1,5353,-1,-1,-1,0
17,3342,31500,-1,-1,-1,4
17,4,137,-1,-1,-1,0
17,3286,31500,-1,-1,-1,4
17,2,137,-1,-1,-1,0
17,3206,31500,-1,-1,-1,4
17,1,137,-1,-1,-1,0
17,3264,31500,-1,-1,-1,4
17,1,137,-1,-1,-1,0
17,1,53,-1,-1,-1,0
17,3287,31500,-1,-1,-1,4
17,1,53,-1,-1,-1,0
6,1,9171,16,-1,-1,0
6,1,902,16,-1,-1,0
17,3233,31500,-1,-1,-1,4
6,3,902,16,-1,-1,0
17,3281,31500,-1,-1,-1,4
17,3188,31500,-1,-1,-1,4
17,1,53,-1,-1,-1,0
17,3251,31500,-1,-1,-1,4
17,1,53,-1,-1,-1,0
1,1,-1,1,3,-1,0
17,3299,31500,-1,-1,-1,4
17,3171,31500,-1,-1,-1,4
17,3309,31500,-1,-1,-1,4
17,1,53,-1,-1,-1,0
1,1,-1,1,3,-1,0
17,3239,31500,-1,-1,-1,4
1,1,-1,1,3,-1,0
17,3208,31500,-1,-1,-1,4
6,2,9178,24,-1,-1,0
17,3298,31500,-1,-1,-1,4
6,2,9126,16,-1,-1,0
6,2,443,16,-1,-1,0
6,1,902,24,-1,-1,0
6,1,9133,16,-1,-1,0
17,3342,31500,-1,-1,-1,4
6,2,9126,16,-1,-1,0
6,2,902,24,-1,-1,0
6,1,9178,16,-1,-1,0
6,1,9178,24,-1,-1,0
17,3234,31500,-1,-1,-1,4
6,2,902,24,-1,-1,0
6,1,9133,16,-1,-1,0
6,3,9178,24,-1,-1,0
17,3270,31500,-1,-1,-1,4
17,2,137,-1,-1,-1,0
6,1,443,16,-1,-1,0
6,1,443,24,-1,-1,0
6,1,9133,16,-1,-1,0
17,3206,31500,-1,-1,-1,4
17,2,137,-1,-1,-1,0
6,1,9133,16,-1,-1,0
17,3240,31500,-1,-1,-1,4
17,4,137,-1,-1,-1,0
6,1,9126,16,-1,-1,0
17,3340,31500,-1,-1,-1,4
17,1,137,-1,-1,-1,0
6,1,9126,16,-1,-1,0
17,3213,31500,-1,-1,-1,4
17,1,137,-1,-1,-1,0
17,1,53,-1,-1,-1,0
17,3261,31500,-1,-1,-1,4
17,3265,31500,-1,-1,-1,4
17,1,53,-1,-1,-1,0
17,3137,31500,-1,-1,-1,4
6,1,9126,16,-1,-1,0
17,3220,31500,-1,-1,-1,4
6,1,9171,16,-1,-1,0
17,1,53,-1,-1,-1,0
17,3267,31500,-1,-1,-1,4
1,1,-1,1,3,-1,0
17,3223,31500,-1,-1,-1,4
17,3190,31500,-1,-1,-1,4
17,3244,31500,-1,-1,-1,4
17,1,53,-1,-1,-1,0
17,3333,31500,-1,-1,-1,4
6,2,902,16,-1,-1,0
6,3,9156,16,-1,-1,0
17,3308,31500,-1,-1,-1,4
6,1,902,24,-1,-1,0
17,3190,31500,-1,-1,-1,4
17,3257,31500,-1,-1,-1,4
17,3225,31500,-1,-1,-1,4
6,1,443,16,-1,-1,0
6,1,9129,24,-1,-1,0
17,3302,31500,-1,-1,-1,4
17,3282,31500,-1,-1,-1,4
