protocal,count,port,flag,type,srcip,attack
6,3,53104,16,-1,-1,0
6,2,443,24,-1,-1,0
6,1,48556,16,-1,-1,0
6,1,53104,24,-1,-1,0
6,2,443,24,-1,-1,0
6,5,443,24,-1,-1,0
6,7,41028,24,-1,-1,0
6,10,54930,24,-1,-1,0
6,5,54930,16,-1,-1,0
6,7,443,16,-1,-1,0
6,5,443,16,-1,-1,0
6,1,41028,16,-1,-1,0
6,1,443,24,-1,-1,0
6,2,443,24,-1,-1,0
6,5,41028,24,-1,-1,0
6,2,41028,16,-1,-1,0
6,5,443,16,-1,-1,0
6,4,54922,24,-1,-1,0
6,2,443,16,-1,-1,0
6,2,443,24,-1,-1,0
6,2,54922,16,-1,-1,0
6,3,443,24,-1,-1,0
17,2,42299,-1,-1,-1,0
6,10,41028,24,-1,-1,0
6,7,41028,16,-1,-1,0
6,4,54930,24,-1,-1,0
6,8,54930,16,-1,-1,0
6,13,443,16,-1,-1,0
17,2,53,-1,-1,-1,0
6,4,54922,24,-1,-1,0
6,6,443,16,-1,-1,0
6,4,443,24,-1,-1,0
17,4,56191,-1,-1,-1,0
6,2,54922,16,-1,-1,0
17,4,53,-1,-1,-1,0
17,2,42299,-1,-1,-1,0
6,2,41028,24,-1,-1,0
6,2,443,16,-1,-1,0
17,2,53,-1,-1,-1,0
17,4,56191,-1,-1,-1,0
17,4,53,-1,-1,-1,0
17,2,42299,-1,-1,-1,0
6,2,41028,24,-1,-1,0
6,2,443,16,-1,-1,0
17,2,53,-1,-1,-1,0
17,4,56191,-1,-1,-1,0
17,4,53,-1,-1,-1,0
6,1,52434,16,-1,-1,0
17,6,42299,-1,-1,-1,0
6,2,41028,24,-1,-1,0
6,4,51090,16,-1,-1,0
17,4,40660,-1,-1,-1,0
6,3,443,24,-1,-1,0
6,1,51092,18,-1,-1,0
6,1,443,2,-1,-1,0
6,1,80,16,-1,-1,0
6,5,48482,24,-1,-1,0
6,1,51092,16,-1,-1,0
6,2,443,16,-1,-1,0
6,1,51090,18,-1,-1,0
17,6,53,-1,-1,-1,0
6,1,48482,18,-1,-1,0
6,5,443,16,-1,-1,0
6,3,48482,16,-1,-1,0
6,4,443,24,-1,-1,0
6,5,443,16,-1,-1,0
6,2,51090,24,-1,-1,0
6,2,443,2,-1,-1,0
17,4,56191,-1,-1,-1,0
17,12,53,-1,-1,-1,0
17,4,49612,-1,-1,-1,0
6,1,52434,16,-1,-1,0
17,2,42299,-1,-1,-1,0
6,12,48482,16,-1,-1,0
17,4,40660,-1,-1,-1,0
6,4,59864,24,-1,-1,0
6,2,59864,16,-1,-1,0
6,1,443,2,-1,-1,0
6,1,59864,18,-1,-1,0
6,8,48482,24,-1,-1,0
6,1,80,16,-1,-1,0
6,4,51092,24,-1,-1,0
6,4,51090,16,-1,-1,0
6,1,443,16,-1,-1,0
6,11,443,16,-1,-1,0
6,4,51090,24,-1,-1,0
6,1,48556,16,-1,-1,0
17,4,53,-1,-1,-1,0
17,4,49612,-1,-1,-1,0
6,1,443,24,-1,-1,0
6,1,443,2,-1,-1,0
6,1,54930,24,-1,-1,0
6,4,443,24,-1,-1,0
6,2,443,24,-1,-1,0
6,1,51092,18,-1,-1,0
6,1,80,16,-1,-1,0
6,1,54930,16,-1,-1,0
6,2,51092,16,-1,-1,0
6,1,51090,18,-1,-1,0
6,1,48482,18,-1,-1,0
6,11,443,16,-1,-1,0
6,5,443,24,-1,-1,0
17,2,53,-1,-1,-1,0
17,4,54098,-1,-1,-1,0
6,5,443,16,-1,-1,0
6,2,443,2,-1,-1,0
17,2,42299,-1,-1,-1,0
6,4,59864,24,-1,-1,0
6,2,59864,16,-1,-1,0
6,1,443,2,-1,-1,0
6,1,59864,18,-1,-1,0
6,1,80,16,-1,-1,0
6,4,51092,24,-1,-1,0
6,7,443,16,-1,-1,0
6,1,48556,16,-1,-1,0
17,4,53,-1,-1,-1,0
6,4,443,24,-1,-1,0
6,7,54930,24,-1,-1,0
6,2,443,24,-1,-1,0
6,4,54930,16,-1,-1,0
17,2,53,-1,-1,-1,0
17,4,54098,-1,-1,-1,0
6,5,443,16,-1,-1,0
17,2,42299,-1,-1,-1,0
6,1,48482,16,-1,-1,0
6,6,443,24,-1,-1,0
6,3,48482,24,-1,-1,0
6,2,35126,16,-1,-1,0
6,3,35124,16,-1,-1,0
6,1,35126,18,-1,-1,0
6,3,443,16,-1,-1,0
17,4,53,-1,-1,-1,0
6,15,443,16,-1,-1,0
6,1,35122,18,-1,-1,0
6,3,443,2,-1,-1,0
6,1,443,24,-1,-1,0
17,4,50483,-1,-1,-1,0
6,1,35124,18,-1,-1,0
17,2,53,-1,-1,-1,0
6,4,35122,24,-1,-1,0
6,3,35124,24,-1,-1,0
6,2,35122,16,-1,-1,0
6,4,35126,24,-1,-1,0
17,2,42299,-1,-1,-1,0
6,1,48482,16,-1,-1,0
6,6,443,24,-1,-1,0
6,3,48482,24,-1,-1,0
6,2,35126,16,-1,-1,0
6,3,35124,16,-1,-1,0
6,1,35126,18,-1,-1,0
6,3,443,16,-1,-1,0
17,4,53,-1,-1,-1,0
6,15,443,16,-1,-1,0
6,1,35122,18,-1,-1,0
6,3,443,2,-1,-1,0
6,1,443,24,-1,-1,0
17,4,50483,-1,-1,-1,0
6,1,35124,18,-1,-1,0
17,2,53,-1,-1,-1,0
6,4,35122,24,-1,-1,0
6,3,35124,24,-1,-1,0
6,2,35122,16,-1,-1,0
6,4,35126,24,-1,-1,0
17,2,42299,-1,-1,-1,0
6,1,48482,16,-1,-1,0
6,6,443,24,-1,-1,0
6,3,48482,24,-1,-1,0
6,1,80,16,-1,-1,0
6,2,35126,16,-1,-1,0
6,3,35124,16,-1,-1,0
6,1,35126,18,-1,-1,0
6,3,443,16,-1,-1,0
6,1,48556,16,-1,-1,0
17,4,53,-1,-1,-1,0
6,15,443,16,-1,-1,0
6,1,35122,18,-1,-1,0
6,3,443,2,-1,-1,0
6,1,443,24,-1,-1,0
6,1,48556,25,-1,-1,0
17,4,50483,-1,-1,-1,0
6,1,80,17,-1,-1,0
6,1,35124,18,-1,-1,0
17,2,53,-1,-1,-1,0
6,4,35122,24,-1,-1,0
6,3,35124,24,-1,-1,0
6,2,35122,16,-1,-1,0
6,4,35126,24,-1,-1,0
17,53,35623,-1,-1,-1,0
17,69,51018,-1,-1,-1,0
17,53,35623,-1,-1,-1,0
17,69,51018,-1,-1,-1,0
6,1,54292,16,-1,-1,0
17,64,35623,-1,-1,-1,0
6,2,443,16,-1,-1,0
6,1,54290,16,-1,-1,0
17,73,51018,-1,-1,-1,0
6,1,52542,16,-1,-1,0
17,126,35623,-1,-1,-1,0
6,1,52560,16,-1,-1,0
