protocal,count,port,flag,type,attack,srcip
17,2,53,-1,-1,0,-1
6,2,443,16,-1,0,-1
17,4,54787,-1,-1,0,-1
17,4,53,-1,-1,0,-1
6,5,443,24,-1,0,-1
6,1,443,16,-1,0,-1
6,1,443,24,-1,0,-1
6,29,443,16,-1,0,-1
6,5,443,16,-1,0,-1
6,1,56936,16,-1,0,-1
6,23,54752,24,-1,0,-1
6,2,443,24,-1,0,-1
6,8,44790,24,-1,0,-1
6,13,44790,16,-1,0,-1
17,2,56953,-1,-1,0,-1
17,2,53,-1,-1,0,-1
6,18,54752,16,-1,0,-1
6,1,56936,24,-1,0,-1
17,4,54787,-1,-1,0,-1
6,1,443,16,-1,0,-1
6,1,443,24,-1,0,-1
6,31,443,16,-1,0,-1
6,5,443,16,-1,0,-1
6,1,56936,16,-1,0,-1
6,26,54752,24,-1,0,-1
6,4,443,24,-1,0,-1
6,2,54306,24,-1,0,-1
6,2,443,16,-1,0,-1
6,21,54752,16,-1,0,-1
6,1,43292,16,-1,0,-1
6,3,54306,16,-1,0,-1
6,3,443,24,-1,0,-1
6,1,80,16,-1,0,-1
6,1,56936,24,-1,0,-1
6,4,443,24,-1,0,-1
6,17,443,16,-1,0,-1
6,2,54306,24,-1,0,-1
6,2,443,16,-1,0,-1
6,19,44790,24,-1,0,-1
6,51,44790,16,-1,0,-1
6,1,43292,16,-1,0,-1
6,3,54306,16,-1,0,-1
6,3,443,24,-1,0,-1
6,1,80,16,-1,0,-1
17,8,53,-1,-1,0,-1
6,6,443,24,-1,0,-1
17,4,58772,-1,-1,0,-1
6,1,43290,16,-1,0,-1
6,2,443,24,-1,0,-1
6,17,443,16,-1,0,-1
6,2,443,16,-1,0,-1
6,4,55944,24,-1,0,-1
6,8,37646,24,-1,0,-1
6,6,443,16,-1,0,-1
6,3,55944,16,-1,0,-1
6,1,443,2,-1,0,-1
6,1,443,16,-1,0,-1
6,19,44790,24,-1,0,-1
6,6,37646,16,-1,0,-1
6,1,43290,24,-1,0,-1
6,53,44790,16,-1,0,-1
17,4,56953,-1,-1,0,-1
6,6,443,24,-1,0,-1
6,1,37646,18,-1,0,-1
17,4,53,-1,-1,0,-1
6,1,80,24,-1,0,-1
6,3,34490,24,-1,0,-1
17,4,39515,-1,-1,0,-1
6,2,443,24,-1,0,-1
6,2,34490,16,-1,0,-1
6,1,80,16,-1,0,-1
17,8,53,-1,-1,0,-1
6,10,443,24,-1,0,-1
17,4,58772,-1,-1,0,-1
6,1,43290,16,-1,0,-1
