protocal,count,port,flag,type,srcip,attack
6,31,902,24,-1,-1,0
6,4,1441,24,-1,-1,0
6,995,80,2,-1,-1,2
6,56,902,16,-1,-1,0
6,117,1427,16,-1,-1,0
6,7,1427,24,-1,-1,0
6,4,1441,16,-1,-1,0
6,3,902,24,-1,-1,0
6,2325,20,4,-1,-1,3
6,3983,443,4,-1,-1,3
6,4149,22,4,-1,-1,3
6,5443,80,2,-1,-1,2
6,2500,80,2,-1,-1,2
17,2,53,-1,-1,-1,0
6,2547,80,2,-1,-1,2
6,2579,80,2,-1,-1,2
17,2,53,-1,-1,-1,0
6,2563,80,2,-1,-1,2
6,2518,80,2,-1,-1,2
6,2569,80,2,-1,-1,2
6,2536,80,2,-1,-1,2
17,2,53,-1,-1,-1,0
6,2504,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2556,80,2,-1,-1,2
6,2551,80,2,-1,-1,2
6,2465,80,2,-1,-1,2
6,2517,80,2,-1,-1,2
6,2443,80,2,-1,-1,2
6,2559,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2553,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2538,80,2,-1,-1,2
6,2564,80,2,-1,-1,2
6,2505,80,2,-1,-1,2
6,2489,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2538,80,2,-1,-1,2
6,2544,80,2,-1,-1,2
6,2479,80,2,-1,-1,2
17,1,49697,-1,-1,-1,0
6,2506,80,2,-1,-1,2
17,2,53,-1,-1,-1,0
6,2493,80,2,-1,-1,2
6,2585,80,2,-1,-1,2
6,1,443,24,-1,-1,0
17,2,53,-1,-1,-1,0
6,2538,80,2,-1,-1,2
6,2551,80,2,-1,-1,2
6,2514,80,2,-1,-1,2
6,2560,80,2,-1,-1,2
17,1,49697,-1,-1,-1,0
6,2561,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2558,80,2,-1,-1,2
6,2512,80,2,-1,-1,2
6,2521,80,2,-1,-1,2
6,2559,80,2,-1,-1,2
6,1,443,24,-1,-1,0
6,1,1440,4,-1,-1,0
6,1,1438,4,-1,-1,0
17,1,53,-1,-1,-1,0
6,2548,80,2,-1,-1,2
6,1,1424,4,-1,-1,0
6,1,1439,4,-1,-1,0
6,3,443,24,-1,-1,0
6,2552,80,2,-1,-1,2
6,2545,80,2,-1,-1,2
6,2575,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2548,80,2,-1,-1,2
17,1,62826,-1,-1,-1,0
17,1,53,-1,-1,-1,0
6,2571,80,2,-1,-1,2
6,2503,80,2,-1,-1,2
6,2530,80,2,-1,-1,2
6,2501,80,2,-1,-1,2
6,2504,80,2,-1,-1,2
6,2543,80,2,-1,-1,2
6,2507,80,2,-1,-1,2
6,2500,80,2,-1,-1,2
6,2509,80,2,-1,-1,2
6,2485,80,2,-1,-1,2
6,2551,80,2,-1,-1,2
6,2523,80,2,-1,-1,2
6,2536,80,2,-1,-1,2
6,2572,80,2,-1,-1,2
6,2581,80,2,-1,-1,2
6,1,443,20,-1,-1,0
6,2511,80,2,-1,-1,2
6,2523,80,2,-1,-1,2
6,2524,80,2,-1,-1,2
6,1,1489,18,-1,-1,0
6,1,1487,18,-1,-1,0
6,2590,80,2,-1,-1,2
6,2,443,2,-1,-1,0
6,2511,80,2,-1,-1,2
6,1,443,24,-1,-1,0
6,2566,80,2,-1,-1,2
6,2530,80,2,-1,-1,2
6,1,1488,18,-1,-1,0
6,1,443,2,-1,-1,0
6,2586,80,2,-1,-1,2
6,2499,80,2,-1,-1,2
17,1,5353,-1,-1,-1,0
6,2561,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2584,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2534,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2650,80,2,-1,-1,2
6,1,443,24,-1,-1,0
17,1,53,-1,-1,-1,0
6,1,1487,16,-1,-1,0
6,373,80,2,-1,-1,2
6,1,443,24,-1,-1,0
17,1,53,-1,-1,-1,0
6,2611,80,2,-1,-1,2
6,1,1487,24,-1,-1,0
6,2578,80,2,-1,-1,2
6,1,1489,24,-1,-1,0
6,2521,80,2,-1,-1,2
6,2497,80,2,-1,-1,2
17,2,53,-1,-1,-1,0
6,2570,80,2,-1,-1,2
6,1,80,2,-1,-1,0
6,2563,80,2,-1,-1,2
6,1,1490,18,-1,-1,0
6,2531,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2594,80,2,-1,-1,2
6,1,1490,18,-1,-1,0
6,1,80,24,-1,-1,0
6,1,80,16,-1,-1,0
6,2466,80,2,-1,-1,2
6,1,80,16,-1,-1,0
17,2,53,-1,-1,-1,0
6,2579,80,2,-1,-1,2
17,1,65388,-1,-1,-1,0
6,2519,80,2,-1,-1,2
17,1,65388,-1,-1,-1,0
6,2559,80,2,-1,-1,2
17,2,53,-1,-1,-1,0
6,2551,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2519,80,2,-1,-1,2
6,2508,80,2,-1,-1,2
6,2500,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2548,80,2,-1,-1,2
6,2564,80,2,-1,-1,2
6,2576,80,2,-1,-1,2
6,2525,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2538,80,2,-1,-1,2
6,2494,80,2,-1,-1,2
6,2508,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,2501,80,2,-1,-1,2
6,2525,80,2,-1,-1,2
6,2476,80,2,-1,-1,2
6,134,1,2,-1,-1,2
6,133,1,4,-1,-1,3
6,442,1,4,-1,-1,3
6,441,1,2,-1,-1,2
6,443,1,2,-1,-1,2
6,443,1,4,-1,-1,3
6,391,1,2,-1,-1,2
6,391,1,4,-1,-1,3
6,504,1,2,-1,-1,2
6,504,1,4,-1,-1,3
6,451,1,2,-1,-1,2
6,451,1,4,-1,-1,3
6,453,1,2,-1,-1,2
6,452,1,4,-1,-1,3
6,446,1,4,-1,-1,3
6,445,1,2,-1,-1,2
6,445,1,2,-1,-1,2
6,445,1,4,-1,-1,3
6,455,1,2,-1,-1,2
6,455,1,4,-1,-1,3
6,449,1,2,-1,-1,2
6,449,1,4,-1,-1,3
6,450,1,2,-1,-1,2
6,449,1,4,-1,-1,3
6,448,1,4,-1,-1,3
6,448,1,2,-1,-1,2
6,451,1,4,-1,-1,3
6,451,1,2,-1,-1,2
6,449,1,4,-1,-1,3
6,448,1,2,-1,-1,2
6,454,1,2,-1,-1,2
6,453,1,4,-1,-1,3
6,449,1,4,-1,-1,3
6,449,1,2,-1,-1,2
6,450,1,4,-1,-1,3
6,449,1,2,-1,-1,2
6,447,1,2,-1,-1,2
6,446,1,4,-1,-1,3
6,447,1,4,-1,-1,3
6,447,1,2,-1,-1,2
6,442,1,4,-1,-1,3
6,441,1,2,-1,-1,2
6,448,1,2,-1,-1,2
6,448,1,4,-1,-1,3
6,442,1,2,-1,-1,2
6,442,1,4,-1,-1,3
6,453,1,2,-1,-1,2
6,452,1,4,-1,-1,3
6,450,1,4,-1,-1,3
6,449,1,2,-1,-1,2
6,462,1,2,-1,-1,2
6,462,1,4,-1,-1,3
6,449,1,2,-1,-1,2
6,449,1,4,-1,-1,3
6,440,1,2,-1,-1,2
6,440,1,4,-1,-1,3
6,442,1,2,-1,-1,2
6,442,1,4,-1,-1,3
6,436,1,2,-1,-1,2
6,435,1,4,-1,-1,3
6,430,1,4,-1,-1,3
6,430,1,2,-1,-1,2
6,441,1,4,-1,-1,3
6,440,1,2,-1,-1,2
6,440,1,2,-1,-1,2
6,439,1,4,-1,-1,3
6,423,1,4,-1,-1,3
6,423,1,2,-1,-1,2
6,436,1,4,-1,-1,3
6,435,1,2,-1,-1,2
6,423,1,2,-1,-1,2
6,422,1,4,-1,-1,3
6,417,1,4,-1,-1,3
6,416,1,2,-1,-1,2
6,415,1,2,-1,-1,2
6,414,1,4,-1,-1,3
6,420,1,4,-1,-1,3
6,420,1,2,-1,-1,2
6,410,1,4,-1,-1,3
6,410,1,2,-1,-1,2
6,403,1,4,-1,-1,3
6,403,1,2,-1,-1,2
6,407,1,4,-1,-1,3
6,406,1,2,-1,-1,2
6,406,1,2,-1,-1,2
6,405,1,4,-1,-1,3
6,400,1,4,-1,-1,3
6,399,1,2,-1,-1,2
6,396,1,2,-1,-1,2
6,396,1,4,-1,-1,3
6,390,1,2,-1,-1,2
6,390,1,4,-1,-1,3
6,394,1,2,-1,-1,2
6,394,1,4,-1,-1,3
6,393,1,2,-1,-1,2
6,392,1,4,-1,-1,3
6,394,1,4,-1,-1,3
6,394,1,2,-1,-1,2
6,391,1,4,-1,-1,3
6,391,1,2,-1,-1,2
6,389,1,4,-1,-1,3
6,390,1,2,-1,-1,2
6,389,1,2,-1,-1,2
6,387,1,4,-1,-1,3
6,391,1,4,-1,-1,3
6,390,1,2,-1,-1,2
6,402,1,4,-1,-1,3
6,403,1,2,-1,-1,2
6,119,1,4,-1,-1,3
6,119,1,2,-1,-1,2
6,360,1,4,-1,-1,3
6,360,1,2,-1,-1,2
6,367,1,4,-1,-1,3
6,366,1,2,-1,-1,2
6,360,1,2,-1,-1,2
6,360,1,4,-1,-1,3
6,357,1,2,-1,-1,2
6,357,1,4,-1,-1,3
6,360,1,2,-1,-1,2
6,359,1,4,-1,-1,3
6,362,1,4,-1,-1,3
6,362,1,2,-1,-1,2
6,313,1,4,-1,-1,3
6,313,1,2,-1,-1,2
6,267,1,4,-1,-1,3
6,266,1,2,-1,-1,2
6,206,1,2,-1,-1,2
6,205,1,4,-1,-1,3
6,315,1,4,-1,-1,3
6,314,1,2,-1,-1,2
6,375,1,4,-1,-1,3
6,373,1,2,-1,-1,2
6,121,1,2,-1,-1,2
6,121,1,4,-1,-1,3
6,109,1,2,-1,-1,2
6,109,1,4,-1,-1,3
6,343,1,2,-1,-1,2
6,343,1,4,-1,-1,3
6,342,1,2,-1,-1,2
6,342,1,4,-1,-1,3
6,318,1,2,-1,-1,2
6,317,1,4,-1,-1,3
6,323,1,4,-1,-1,3
6,323,1,2,-1,-1,2
6,332,1,4,-1,-1,3
6,332,1,2,-1,-1,2
6,336,1,4,-1,-1,3
6,335,1,2,-1,-1,2
6,340,1,2,-1,-1,2
