protocal,count,port,flag,type,srcip,attack
17,198,9,-1,-1,-1,0
6,7,1250,24,-1,-1,0
6,37,1269,16,-1,-1,0
6,64,902,16,-1,-1,0
6,82,902,24,-1,-1,0
6,3,1269,24,-1,-1,0
6,70,1250,16,-1,-1,0
17,1,53,-1,-1,-1,0
17,198,9,-1,-1,-1,0
6,4,1250,24,-1,-1,0
6,22,1269,16,-1,-1,0
17,1,53,-1,-1,-1,0
6,34,902,16,-1,-1,0
6,48,902,24,-1,-1,0
6,2,1269,24,-1,-1,0
6,81,1250,16,-1,-1,0
17,198,9,-1,-1,-1,0
6,3,1250,24,-1,-1,0
6,8,1269,16,-1,-1,0
6,39,902,16,-1,-1,0
6,21,902,24,-1,-1,0
6,5,1269,24,-1,-1,0
6,77,1250,16,-1,-1,0
17,134,9,-1,-1,-1,0
6,3,1250,24,-1,-1,0
6,48,1269,16,-1,-1,0
17,1,53,-1,-1,-1,0
6,53,902,16,-1,-1,0
6,41,902,24,-1,-1,0
6,55,902,16,-1,-1,0
17,1838,9,-1,-1,-1,4
1,1,-1,1,3,-1,0
6,35,902,24,-1,-1,0
17,1,53,-1,-1,-1,0
6,57,1250,16,-1,-1,0
6,30,1269,24,-1,-1,0
6,35,1269,16,-1,-1,0
6,7,1250,24,-1,-1,0
6,37,902,16,-1,-1,0
17,1835,9,-1,-1,-1,4
6,7,902,24,-1,-1,0
6,79,1250,16,-1,-1,0
6,4,1269,24,-1,-1,0
6,2,1269,16,-1,-1,0
6,2,1250,24,-1,-1,0
6,39,902,16,-1,-1,0
17,1820,9,-1,-1,-1,4
6,7,902,24,-1,-1,0
17,1,53,-1,-1,-1,0
6,80,1250,16,-1,-1,0
6,3,1269,24,-1,-1,0
6,2,1269,16,-1,-1,0
6,4,1250,24,-1,-1,0
6,40,902,16,-1,-1,0
17,1846,9,-1,-1,-1,4
6,6,902,24,-1,-1,0
6,81,1250,16,-1,-1,0
6,3,1269,24,-1,-1,0
6,1,1269,16,-1,-1,0
6,3,1250,24,-1,-1,0
6,41,902,16,-1,-1,0
17,1835,9,-1,-1,-1,4
6,83,1250,16,-1,-1,0
6,5,902,24,-1,-1,0
17,1,53,-1,-1,-1,0
6,2,1250,24,-1,-1,0
6,2,1269,24,-1,-1,0
6,2,1269,16,-1,-1,0
1,1,-1,1,3,-1,0
6,31,902,16,-1,-1,0
17,1813,9,-1,-1,-1,4
6,7,902,24,-1,-1,0
6,68,1250,16,-1,-1,0
6,3,1269,24,-1,-1,0
6,2,1269,16,-1,-1,0
6,3,1250,24,-1,-1,0
6,36,902,16,-1,-1,0
17,1834,9,-1,-1,-1,4
6,8,902,24,-1,-1,0
6,76,1250,16,-1,-1,0
6,4,1269,24,-1,-1,0
6,2,1269,16,-1,-1,0
6,3,1250,24,-1,-1,0
6,23,902,16,-1,-1,0
17,1843,9,-1,-1,-1,4
6,4,902,24,-1,-1,0
6,47,1250,16,-1,-1,0
6,1,1269,24,-1,-1,0
6,1,1269,16,-1,-1,0
6,3,1250,24,-1,-1,0
6,3,902,16,-1,-1,0
17,1826,9,-1,-1,-1,4
6,6,1250,16,-1,-1,0
6,8,902,24,-1,-1,0
17,1,53,-1,-1,-1,0
1,1,-1,1,3,-1,0
6,4,1269,24,-1,-1,0
6,2,1269,16,-1,-1,0
6,4,1250,24,-1,-1,0
6,37,902,16,-1,-1,0
17,1850,9,-1,-1,-1,4
6,3,902,24,-1,-1,0
6,85,1250,16,-1,-1,0
6,3,1250,24,-1,-1,0
6,37,902,16,-1,-1,0
17,1874,9,-1,-1,-1,4
6,3,902,24,-1,-1,0
6,85,1250,16,-1,-1,0
6,3,1250,24,-1,-1,0
6,20,902,16,-1,-1,0
17,1899,9,-1,-1,-1,4
6,3,902,24,-1,-1,0
6,41,1250,16,-1,-1,0
6,3,1250,24,-1,-1,0
6,2,902,16,-1,-1,0
17,1899,9,-1,-1,-1,4
6,4,902,24,-1,-1,0
6,4,1250,16,-1,-1,0
6,4,1250,24,-1,-1,0
6,42,902,16,-1,-1,0
